title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001,tt0257231,6.4,8247.0
Torrente 3: El protector,movie,"Comedy, Crime",2005,tt0444505,5.6,6507.0
Four Minutes,movie,"Drama, Music",2006,tt0461694,7.3,7582.0
American Psycho,movie,"Crime, Drama, Horror",2000,tt0144084,7.6,772486.0
Frida,movie,"Biography, Drama, Romance",2002,tt0120679,7.3,98071.0
Sex and Lucía,movie,"Drama, Romance",2001,tt0254455,7.0,39668.0
Monster's Ball,movie,"Drama, Romance",2001,tt0285742,7.0,96128.0
First Blood,movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,287818.0
Rambo: First Blood Part II,movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,188972.0
Rambo III,movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,144607.0
Blood Diamond,movie,"Adventure, Drama, Thriller",2006,tt0450259,8.0,604707.0
Lights in the Dusk,movie,"Crime, Drama",2006,tt0458242,6.8,8410.0
Y tu mamá también,movie,Drama,2001,tt0245574,7.7,133789.0
The Pursuit of Happyness,movie,"Biography, Drama",2006,tt0454921,8.0,588053.0
Cutthroat Island,movie,"Action, Adventure, Comedy",1995,tt0112760,5.7,31769.0
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,61774.0
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,tt0457430,8.2,722125.0
Take My Eyes,movie,"Drama, Romance",2003,tt0350193,7.4,7676.0
The Departed,movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1479235.0
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,272266.0
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173192.0
Little Children,movie,"Drama, Romance",2006,tt0404203,7.5,119334.0
The Virgin Suicides,movie,"Drama, Romance",1999,tt0159097,7.2,177819.0
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,360150.0
Miss Congeniality,movie,"Action, Comedy, Crime",2000,tt0212346,6.3,238990.0
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006,tt0473444,7.0,46655.0
Spy Game,movie,"Action, Crime, Thriller",2001,tt0266987,7.1,171933.0
Changing Lanes,movie,"Drama, Thriller",2002,tt0264472,6.5,76247.0
The Lost Boys,movie,"Comedy, Horror",1987,tt0093437,7.2,168879.0
Down by Law,movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,56943.0
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43384.0
Resident Evil,movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,298120.0
Resident Evil: Apocalypse,movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,215112.0
The Holiday,movie,"Comedy, Romance",2006,tt0457939,7.0,347028.0
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12115.0
School of Rock,movie,"Comedy, Music",2003,tt0332379,7.2,343337.0
